Date,Egg_Size,Price,Quantity_Produced,Quantity_Sold,Revenue
02/10/2023,MEDIUM,6.66,4,4,26.64
02/10/2023,LARGE,7.33,1,1,7.33
02/10/2023,X-LARGE,7.5,3,3,22.5
02/10/2023,JUMBO,8,,0,
03/10/2023,PEWEE,4,207,207,828
03/10/2023,SMALL,6,35,35,210
03/10/2023,MEDIUM,6.66,3,3,19.98
03/10/2023,LARGE,7.33,1,1,7.33
03/10/2023,X-LARGE,7.5,3,3,22.5
03/10/2023,JUMBO,8,,0,
04/10/2023,PEWEE,4,207,207,828
04/10/2023,SMALL,6,41,41,246
04/10/2023,MEDIUM,6.66,5,5,33.3
04/10/2023,LARGE,7.33,,0,
04/10/2023,X-LARGE,7.5,1,1,7.5
04/10/2023,JUMBO,8,12,0,
05/10/2023,PEWEE,4,225,225,900
05/10/2023,SMALL,6,41,41,246
05/10/2023,MEDIUM,6.66,2,2,13.32
05/10/2023,LARGE,7.33,4,4,29.32
05/10/2023,X-LARGE,7.5,1,1,7.5
05/10/2023,JUMBO,8,,0,
06/10/2023,PEWEE,4,236,236,944
06/10/2023,SMALL,6,50,50,300
06/10/2023,MEDIUM,6.66,4,4,26.64
06/10/2023,LARGE,7.33,2,2,14.66
06/10/2023,X-LARGE,7.5,2,2,15
06/10/2023,JUMBO,8,,0,
07/10/2023,PEWEE,4,210,210,840
07/10/2023,SMALL,6,82,82,492
07/10/2023,MEDIUM,6.66,3,3,19.98
07/10/2023,LARGE,7.33,1,1,7.33
07/10/2023,X-LARGE,7.5,2,2,15
07/10/2023,JUMBO,8,,0,
08/10/2023,PEWEE,4,242,0,
08/10/2023,SMALL,6,66,0,
08/10/2023,MEDIUM,6.66,3,0,
08/10/2023,LARGE,7.33,5,0,
08/10/2023,X-LARGE,7.5,3,0,
08/10/2023,JUMBO,8,,0,
09/10/2023,PEWEE,4,235,235,940
09/10/2023,SMALL,6,67,67,402
09/10/2023,MEDIUM,6.66,3,3,19.98
09/10/2023,LARGE,7.33,3,3,21.99
09/10/2023,X-LARGE,7.5,8,8,60
09/10/2023,JUMBO,8,,0,
10/10/2023,PEWEE,4,268,268,1072
10/10/2023,SMALL,6,40,40,240
10/10/2023,MEDIUM,6.66,,0,
10/10/2023,LARGE,7.33,2,2,14.66
10/10/2023,X-LARGE,7.5,2,2,15
10/10/2023,JUMBO,8,1,1,8
11/10/2023,PEWEE,4,269,269,1076
11/10/2023,SMALL,6,47,47,282
11/10/2023,MEDIUM,6.66,3,3,19.98
11/10/2023,LARGE,7.33,1,1,7.33
11/10/2023,X-LARGE,7.5,3,3,22.5
11/10/2023,JUMBO,8,1,1,8
12/10/2023,PEWEE,4,279,279,1116
12/10/2023,SMALL,6,36,36,216
12/10/2023,MEDIUM,6.66,,0,
12/10/2023,LARGE,7.33,3,3,21.99
12/10/2023,X-LARGE,7.5,2,2,15
12/10/2023,JUMBO,8,,0,
13/10/2023,PEWEE,4,279,279,1116
13/10/2023,SMALL,6,55,55,330
13/10/2023,MEDIUM,6.66,2,2,13.32
13/10/2023,LARGE,7.33,7,7,51.31
13/10/2023,X-LARGE,7.5,1,1,7.5
13/10/2023,JUMBO,8,,0,
14/10/2023,PEWEE,4,282,282,1128
14/10/2023,SMALL,6,37,37,222
14/10/2023,MEDIUM,6.66,2,2,13.32
14/10/2023,LARGE,7.33,3,3,21.99
14/10/2023,X-LARGE,7.5,1,1,7.5
14/10/2023,JUMBO,8,1,1,8
15/10/2023,PEWEE,4,277,277,1108
15/10/2023,SMALL,6,26,26,156
15/10/2023,MEDIUM,6.66,2,2,13.32
15/10/2023,LARGE,7.33,1,1,7.33
15/10/2023,X-LARGE,7.5,2,2,15
15/10/2023,JUMBO,8,1,1,8
16/10/2023,PEWEE,4,291,291,1164
16/10/2023,SMALL,6,27,27,162
16/10/2023,MEDIUM,6.66,2,2,13.32
16/10/2023,LARGE,7.33,2,2,14.66
16/10/2023,X-LARGE,7.5,3,3,22.5
16/10/2023,JUMBO,8,,0,
17/10/2023,PEWEE,4,250,250,1000
17/10/2023,SMALL,6,66,66,396
17/10/2023,MEDIUM,6.66,8,8,53.28
17/10/2023,LARGE,7.33,3,3,21.99
17/10/2023,X-LARGE,7.5,1,1,7.5
17/10/2023,JUMBO,8,,0,
18/10/2023,PEWEE,4,237,237,948
18/10/2023,SMALL,6,71,71,426
18/10/2023,MEDIUM,6.66,4,4,26.64
18/10/2023,LARGE,7.33,3,3,21.99
18/10/2023,X-LARGE,7.5,3,3,22.5
18/10/2023,JUMBO,8,,0,
19/10/2023,PEWEE,4,251,251,1004
19/10/2023,SMALL,6,61,61,366
19/10/2023,MEDIUM,6.66,4,4,26.64
19/10/2023,LARGE,7.33,1,1,7.33
19/10/2023,X-LARGE,7.5,2,2,15
19/10/2023,JUMBO,8,,0,
20/10/2023,PEWEE,4,253,253,1012
20/10/2023,SMALL,6,66,66,396
20/10/2023,MEDIUM,6.66,7,7,46.62
20/10/2023,LARGE,7.33,,0,
20/10/2023,X-LARGE,7.5,,0,
20/10/2023,JUMBO,8,2,2,16
21/10/2023,PEWEE,4,236,236,944
21/10/2023,SMALL,6,75,75,450
21/10/2023,MEDIUM,6.66,4,4,26.64
21/10/2023,LARGE,7.33,2,2,14.66
21/10/2023,X-LARGE,7.5,3,3,22.5
21/10/2023,JUMBO,8,1,1,8
22/10/2023,PEWEE,4,246,246,984
22/10/2023,SMALL,6,75,75,450
22/10/2023,MEDIUM,6.66,11,11,73.26
22/10/2023,LARGE,7.33,1,1,7.33
22/10/2023,X-LARGE,7.5,,0,
22/10/2023,JUMBO,8,,0,
23/10/2023,PEWEE,4,231,231,924
23/10/2023,SMALL,6,106,106,636
23/10/2023,MEDIUM,6.66,12,12,79.92
23/10/2023,LARGE,7.33,1,1,7.33
23/10/2023,X-LARGE,7.5,1,1,7.5
23/10/2023,JUMBO,8,7,7,56
24/10/2023,PEWEE,4,231,231,924
24/10/2023,SMALL,6,107,107,642
24/10/2023,MEDIUM,6.66,4,4,26.64
24/10/2023,LARGE,7.33,,0,
24/10/2023,X-LARGE,7.5,1,1,7.5
24/10/2023,JUMBO,8,1,1,8
25/10/2023,PEWEE,4,224,224,896
25/10/2023,SMALL,6,93,93,558
25/10/2023,MEDIUM,6.66,15,15,99.9
25/10/2023,LARGE,7.33,2,2,14.66
25/10/2023,X-LARGE,7.5,,0,
25/10/2023,JUMBO,8,2,0,
26/10/2023,PEWEE,4,151,151,604
26/10/2023,SMALL,6,159,159,954
26/10/2023,MEDIUM,6.66,48,48,319.68
26/10/2023,LARGE,7.33,2,2,14.66
26/10/2023,X-LARGE,7.5,2,2,15
26/10/2023,JUMBO,8,3,3,24
27/10/2023,PEWEE,4,179,179,716
27/10/2023,SMALL,6,144,144,864
27/10/2023,MEDIUM,6.66,31,31,206.46
27/10/2023,LARGE,7.33,,0,
27/10/2023,X-LARGE,7.5,2,2,15
27/10/2023,JUMBO,8,,0,
28/10/2023,PEWEE,4,201,201,804
28/10/2023,SMALL,6,145,145,870
28/10/2023,MEDIUM,6.66,20,20,133.2
28/10/2023,LARGE,7.33,0,0,0
28/10/2023,X-LARGE,7.5,1,1,7.5
28/10/2023,JUMBO,8,1,1,8
29/10/2023,PEWEE,4,167,167,668
29/10/2023,SMALL,6,164,164,984
29/10/2023,MEDIUM,6.66,24,24,159.84
29/10/2023,LARGE,7.33,,0,
29/10/2023,X-LARGE,7.5,1,1,7.5
29/10/2023,JUMBO,8,0,0,0
30/10/2023,PEWEE,4,162,162,648
30/10/2023,SMALL,6,174,174,1044
30/10/2023,MEDIUM,6.66,34,34,226.44
30/10/2023,LARGE,7.33,,0,
30/10/2023,X-LARGE,7.5,,0,
30/10/2023,JUMBO,8,,0,
31/10/2023,PEWEE,4,134,134,536
31/10/2023,SMALL,6,199,199,1194
31/10/2023,MEDIUM,6.66,45,45,299.7
31/10/2023,LARGE,7.33,1,1,7.33
31/10/2023,X-LARGE,7.5,2,2,15
31/10/2023,JUMBO,8,2,2,16
01/11/2023,PEWEE,4,72,72,288
01/11/2023,SMALL,6.5,178,178,1157
01/11/2023,MEDIUM,7,40,40,280
01/11/2023,LARGE,8,3,3,24
01/11/2023,X-LARGE,8.67,4,4,34.68
01/11/2023,JUMBO,9,1,1,9
02/11/2023,PEWEE,4,90,90,360
02/11/2023,SMALL,6.5,172,172,1118
02/11/2023,MEDIUM,7,45,45,315
02/11/2023,LARGE,8,2,2,16
02/11/2023,X-LARGE,8.67,1,1,8.67
02/11/2023,JUMBO,9,4,4,36
03/11/2023,PEWEE,4,69,69,276
03/11/2023,SMALL,6.5,199,199,1293.5
03/11/2023,MEDIUM,7,57,57,399
03/11/2023,LARGE,8,4,4,32
03/11/2023,X-LARGE,8.67,1,1,8.67
03/11/2023,JUMBO,9,2,2,18
04/11/2023,PEWEE,4,55,55,220
04/11/2023,SMALL,6.5,221,221,1436.5
04/11/2023,MEDIUM,7,48,48,336
04/11/2023,LARGE,8,5,5,40
04/11/2023,X-LARGE,8.67,1,1,8.67
04/11/2023,JUMBO,9,3,3,27
05/11/2023,PEWEE,4,40,40,160
05/11/2023,SMALL,6.5,189,188.6923077,1226.5
05/11/2023,MEDIUM,7,67,67,469
05/11/2023,LARGE,8,6,6,48
05/11/2023,X-LARGE,8.67,1,1,8.67
05/11/2023,JUMBO,9,1,1,9
06/11/2023,PEWEE,4,46,46,184
06/11/2023,SMALL,6.5,206,206,1339
06/11/2023,MEDIUM,7,86,86,602
06/11/2023,LARGE,8,8,8,64
06/11/2023,X-LARGE,8.67,4,4,34.68
06/11/2023,JUMBO,9,3,3,27
07/11/2023,PEWEE,4,47,47,188
07/11/2023,SMALL,6.5,206,206,1339
07/11/2023,MEDIUM,7,90,90,630
07/11/2023,LARGE,8,10,10,80
07/11/2023,X-LARGE,8.67,2,2,17.34
07/11/2023,JUMBO,9,4,4,36
08/11/2023,PEWEE,4,34,34,136
08/11/2023,SMALL,6.5,203,203,1319.5
08/11/2023,MEDIUM,7,122,122,854
08/11/2023,LARGE,8,10,10,80
08/11/2023,X-LARGE,8.67,2,2,17.34
08/11/2023,JUMBO,9,2,2,18
09/11/2023,PEWEE,4,63,63,252
09/11/2023,SMALL,6.5,194,194,1261
09/11/2023,MEDIUM,7,93,93,651
09/11/2023,LARGE,8,9,9,72
09/11/2023,X-LARGE,8.67,,0,
09/11/2023,JUMBO,9,4,4,36
10/11/2023,PEWEE,4,40,40,160
10/11/2023,SMALL,6.5,217,217,1410.5
10/11/2023,MEDIUM,7,101,101,707
10/11/2023,LARGE,8,9,9,72
10/11/2023,X-LARGE,8.67,1,1,8.67
10/11/2023,JUMBO,9,2,2,18
11/11/2023,PEWEE,4,30,30,120
11/11/2023,SMALL,6.5,230,230,1495
11/11/2023,MEDIUM,7,96,96,672
11/11/2023,LARGE,8,13,13,104
11/11/2023,X-LARGE,8.67,1,1,8.67
11/11/2023,JUMBO,9,8,8,72
12/11/2023,PEWEE,4,32,32,128
12/11/2023,SMALL,6.5,214,214,1391
12/11/2023,MEDIUM,7,106,106,742
12/11/2023,LARGE,8,16,16,128
12/11/2023,X-LARGE,8.67,,0,
12/11/2023,JUMBO,9,3,3,27
13/11/2023,PEWEE,4,41,41,164
13/11/2023,SMALL,6.5,224,224,1456
13/11/2023,MEDIUM,7,102,102,714
13/11/2023,LARGE,8,12,12,96
13/11/2023,X-LARGE,8.67,,0,
13/11/2023,JUMBO,9,2,6,54
14/11/2023,PEWEE,4,37,37,148
14/11/2023,SMALL,6.5,221,221,1436.5
14/11/2023,MEDIUM,7,119,119,833
14/11/2023,LARGE,8,14,14,112
14/11/2023,X-LARGE,8.67,,0,
14/11/2023,JUMBO,9,2,2,18
15/11/2023,PEWEE,4,16,16,64
15/11/2023,SMALL,6.5,175,175,1137.5
15/11/2023,MEDIUM,7,161,161,1127
15/11/2023,LARGE,8,42,42,336
15/11/2023,X-LARGE,8.67,4,4,34.68
15/11/2023,JUMBO,9,2,2,18
16/11/2023,PEWEE,4,23,23,92
16/11/2023,SMALL,6.5,164,164,1066
16/11/2023,MEDIUM,7,160,160,1120
16/11/2023,LARGE,8,40,40,320
16/11/2023,X-LARGE,8.67,4,4,34.68
16/11/2023,JUMBO,9,2,2,18
17/11/2023,PEWEE,4,33,33,132
17/11/2023,SMALL,6.5,207,207,1345.5
17/11/2023,MEDIUM,7,124,124,868
17/11/2023,LARGE,8,15,15,120
17/11/2023,X-LARGE,8.67,1,1,8.67
17/11/2023,JUMBO,9,5,5,45
18/11/2023,PEWEE,4,38,38,152
18/11/2023,SMALL,6.5,211,211,1371.5
18/11/2023,MEDIUM,7,100,100,700
18/11/2023,LARGE,8,20,20,160
18/11/2023,X-LARGE,8.67,1,1,8.67
18/11/2023,JUMBO,9,5,5,45
19/11/2023,PEWEE,4,25,25,100
19/11/2023,SMALL,6.5,202,202,1313
19/11/2023,MEDIUM,7,143,143,1001
19/11/2023,LARGE,8,23,23,184
19/11/2023,X-LARGE,8.67,,0,
19/11/2023,JUMBO,9,1,1,9
20/11/2023,PEWEE,4,26,26,104
20/11/2023,SMALL,6.5,199,199,1293.5
20/11/2023,MEDIUM,7,126,126,882
20/11/2023,LARGE,8,21,21,168
20/11/2023,X-LARGE,8.67,1,1,8.67
20/11/2023,JUMBO,9,3,3,27
21/11/2023,PEWEE,4,28,28,112
21/11/2023,SMALL,6.5,211,211,1371.5
21/11/2023,MEDIUM,7,220,220,1540
21/11/2023,LARGE,8,27,27,216
21/11/2023,X-LARGE,8.67,2,2,17.34
21/11/2023,JUMBO,9,6,6,54
22/11/2023,PEWEE,4,29,29,116
22/11/2023,SMALL,6.5,203,203,1319.5
22/11/2023,MEDIUM,7,135,135,945
22/11/2023,LARGE,8,18,18,144
22/11/2023,X-LARGE,8.67,2,2,17.34
22/11/2023,JUMBO,9,4,4,36
23/11/2023,PEWEE,4,26,26,104
23/11/2023,SMALL,6.5,175,175,1137.5
23/11/2023,MEDIUM,7,140,140,980
23/11/2023,LARGE,8,23,23,184
23/11/2023,X-LARGE,8.67,14,14,121.38
23/11/2023,JUMBO,9,6,6,54
24/11/2023,PEWEE,4,28,28,112
24/11/2023,SMALL,6.5,198,198,1287
24/11/2023,MEDIUM,7,147,147,1029
24/11/2023,LARGE,8,18,18,144
24/11/2023,X-LARGE,8.67,2,2,17.34
24/11/2023,JUMBO,9,3,3,27
25/11/2023,PEWEE,4,20,20,80
25/11/2023,SMALL,6.5,184,184,1196
25/11/2023,MEDIUM,7,175,175,1225
25/11/2023,LARGE,8,24,24,192
25/11/2023,X-LARGE,8.67,4,4,34.68
25/11/2023,JUMBO,9,1,1,9
26/11/2023,PEWEE,4,27,27,108
26/11/2023,SMALL,6.5,201,201,1306.5
26/11/2023,MEDIUM,7,143,143,1001
26/11/2023,LARGE,8,27,27,216
26/11/2023,X-LARGE,8.67,1,1,8.67
26/11/2023,JUMBO,9,7,7,63
27/11/2023,PEWEE,4,21,21,84
27/11/2023,SMALL,6.5,211,211,1371.5
27/11/2023,MEDIUM,7,143,143,1001
27/11/2023,LARGE,8,27,27,216
27/11/2023,X-LARGE,8.67,1,1,8.67
27/11/2023,JUMBO,9,7,7,63
28/11/2023,PEWEE,4,25,25,100
28/11/2023,SMALL,6.5,198,198,1287
28/11/2023,MEDIUM,7,146,146,1022
28/11/2023,LARGE,8,28,28,224
28/11/2023,X-LARGE,8.67,1,1,8.67
28/11/2023,JUMBO,9,5,5,45
29/11/2023,PEWEE,4,20,20,80
29/11/2023,SMALL,6.5,199,199,1293.5
29/11/2023,MEDIUM,7,135,135,945
29/11/2023,LARGE,8,33,33,264
29/11/2023,X-LARGE,8.67,4,4,34.68
29/11/2023,JUMBO,9,,0,
30/11/2023,PEWEE,4,21,21,84
30/11/2023,SMALL,6.5,189,189,1228.5
30/11/2023,MEDIUM,7,160,160,1120
30/11/2023,LARGE,8,30,30,240
30/11/2023,X-LARGE,8.67,2,2,17.34
30/11/2023,JUMBO,9,,0,
01/12/2023,PEWEE,4,18,18,72
01/12/2023,SMALL,6.5,188,188,1222
01/12/2023,MEDIUM,7,32,32,224
01/12/2023,LARGE,8,38,38,304
01/12/2023,X-LARGE,8.67,4,4,34.68
01/12/2023,JUMBO,9,6,6,54
02/12/2023,PEWEE,4,15,15,60
02/12/2023,SMALL,6.5,206,206,1339
02/12/2023,MEDIUM,7,161,161,1127
02/12/2023,LARGE,8,30,30,240
02/12/2023,X-LARGE,8.67,5,5,43.35
02/12/2023,JUMBO,9,3,3,27
03/12/2023,PEWEE,4,16,16,64
03/12/2023,SMALL,6.5,208,208,1352
03/12/2023,MEDIUM,7,146,146,1022
03/12/2023,LARGE,8,33,33,264
03/12/2023,X-LARGE,8.67,1,1,8.67
03/12/2023,JUMBO,9,3,3,27
04/12/2023,PEWEE,4,22,22,88
04/12/2023,SMALL,6.5,193,193,1254.5
04/12/2023,MEDIUM,7,161,161,1127
04/12/2023,LARGE,8,33,33,264
04/12/2023,X-LARGE,8.67,1,1,8.67
04/12/2023,JUMBO,9,5,5,45
05/12/2023,PEWEE,4,21,21,84
05/12/2023,SMALL,6.5,206,206,1339
05/12/2023,MEDIUM,7,142,142,994
05/12/2023,LARGE,8,30,30,240
05/12/2023,X-LARGE,8.67,3,3,26.01
05/12/2023,JUMBO,9,2,2,18
06/12/2023,PEWEE,4,20,20,80
06/12/2023,SMALL,6.5,178,178,1157
06/12/2023,MEDIUM,7,175,175,1225
06/12/2023,LARGE,8,36,36,288
06/12/2023,X-LARGE,8.67,3,3,26.01
06/12/2023,JUMBO,9,4,4,36
07/12/2023,PEWEE,4,18,18,72
07/12/2023,SMALL,6.5,189,189,1228.5
07/12/2023,MEDIUM,7,158,158,1106
07/12/2023,LARGE,8,36,36,288
07/12/2023,X-LARGE,8.67,,0,
07/12/2023,JUMBO,9,7,7,63
08/12/2023,PEWEE,4,19,19,76
08/12/2023,SMALL,6.5,169,169,1098.5
08/12/2023,MEDIUM,7,170,170,1190
08/12/2023,LARGE,8,35,35,280
08/12/2023,X-LARGE,8.67,5,5,43.35
08/12/2023,JUMBO,9,5,5,45
09/12/2023,PEWEE,4,18,18,72
09/12/2023,SMALL,6.5,174,174,1131
09/12/2023,MEDIUM,7,182,182,1274
09/12/2023,LARGE,8,35,35,280
09/12/2023,X-LARGE,8.67,1,1,8.67
09/12/2023,JUMBO,9,3,3,27
10/12/2023,PEWEE,4,19,19,76
10/12/2023,SMALL,6.5,182,182,1183
10/12/2023,MEDIUM,7,174,174,1218
10/12/2023,LARGE,8,25,25,200
10/12/2023,X-LARGE,8.67,2,2,17.34
10/12/2023,JUMBO,9,4,4,36
11/12/2023,PEWEE,4,15,15,60
11/12/2023,SMALL,6.5,198,198,1287
11/12/2023,MEDIUM,7,156,156,1092
11/12/2023,LARGE,8,35,35,280
11/12/2023,X-LARGE,8.67,3,3,26.01
11/12/2023,JUMBO,9,3,3,27
12/12/2023,PEWEE,4,7,7,28
12/12/2023,SMALL,6.5,168,168,1092
12/12/2023,MEDIUM,7,188,188,1316
12/12/2023,LARGE,8,49,49,392
12/12/2023,X-LARGE,8.67,6,6,52.02
12/12/2023,JUMBO,9,7,7,63
13/12/2023,PEWEE,4,19,19,76
13/12/2023,SMALL,6.5,183,183,1189.5
13/12/2023,MEDIUM,7,159,159,1113
13/12/2023,LARGE,8,50,50,400
13/12/2023,X-LARGE,8.67,3,3,26.01
13/12/2023,JUMBO,9,2,2,18
14/12/2023,PEWEE,4,11,11,44
14/12/2023,SMALL,6.5,170,170,1105
14/12/2023,MEDIUM,7,170,170,1190
14/12/2023,LARGE,8,48,48,384
14/12/2023,X-LARGE,8.67,4,4,34.68
14/12/2023,JUMBO,9,4,4,36
15/12/2023,PEWEE,4,14,14,56
15/12/2023,SMALL,6.5,173,173,1124.5
15/12/2023,MEDIUM,7,186,186,1302
15/12/2023,LARGE,8,44,44,352
15/12/2023,X-LARGE,8.67,6,6,52.02
15/12/2023,JUMBO,9,2,2,18
16/12/2023,PEWEE,4,7,7,28
16/12/2023,SMALL,6.5,168,168,1092
16/12/2023,MEDIUM,7,189,189,1323
16/12/2023,LARGE,8,42,42,336
16/12/2023,X-LARGE,8.67,1,1,8.67
16/12/2023,JUMBO,9,2,2,18
17/12/2023,PEWEE,4,13,13,52
17/12/2023,SMALL,6.5,184,184,1196
17/12/2023,MEDIUM,7,163,163,1141
17/12/2023,LARGE,8,47,47,376
17/12/2023,X-LARGE,8.67,6,6,52.02
17/12/2023,JUMBO,9,5,5,45
18/12/2023,PEWEE,4,14,14,56
18/12/2023,SMALL,6.5,164,164,1066
18/12/2023,MEDIUM,7,181,181,1267
18/12/2023,LARGE,8,62,62,496
18/12/2023,X-LARGE,8.67,3,3,26.01
18/12/2023,JUMBO,9,2,2,18
19/12/2023,PEWEE,4,10,10,40
19/12/2023,SMALL,6.5,159,159,1033.5
19/12/2023,MEDIUM,7,187,187,1309
19/12/2023,LARGE,8,44,44,352
19/12/2023,X-LARGE,8.67,9,9,78.03
19/12/2023,JUMBO,9,1,1,9
20/12/2023,PEWEE,4,12,12,48
20/12/2023,SMALL,6.5,178,178,1157
20/12/2023,MEDIUM,7,173,173,1211
20/12/2023,LARGE,8,54,54,432
20/12/2023,X-LARGE,8.67,1,1,8.67
20/12/2023,JUMBO,9,1,1,9
21/12/2023,PEWEE,4,14,14,56
21/12/2023,SMALL,6.5,161,161,1046.5
21/12/2023,MEDIUM,7,170,170,1190
21/12/2023,LARGE,8,56,56,448
21/12/2023,X-LARGE,8.67,3,3,26.01
21/12/2023,JUMBO,9,2,2,18
22/12/2023,PEWEE,4,30,30,120
22/12/2023,SMALL,6.5,187,187,1215.5
22/12/2023,MEDIUM,7,156,156,1092
22/12/2023,LARGE,8,51,51,408
22/12/2023,X-LARGE,8.67,1,1,8.67
22/12/2023,JUMBO,9,2,2,18
23/12/2023,PEWEE,4,10,10,40
23/12/2023,SMALL,6.5,141,140.9230769,916
23/12/2023,MEDIUM,7,179,179,1253
23/12/2023,LARGE,8,73,73,584
23/12/2023,X-LARGE,8.67,10,10,86.7
23/12/2023,JUMBO,9,5,5,45
24/12/2023,PEWEE,4,10,10,40
24/12/2023,SMALL,6.5,141,141,916.5
24/12/2023,MEDIUM,7,184,184,1288
24/12/2023,LARGE,8,85,85,680
24/12/2023,X-LARGE,8.67,9,9,78.03
24/12/2023,JUMBO,9,1,1,9
25/12/2023,PEWEE,4,7,7,28
25/12/2023,SMALL,6.5,165,165,1072.5
25/12/2023,MEDIUM,7,164,164,1148
25/12/2023,LARGE,8,80,80,640
25/12/2023,X-LARGE,8.67,12,12,104.04
25/12/2023,JUMBO,9,1,1,9
26/12/2023,PEWEE,4,8,8,32
26/12/2023,SMALL,6.5,144,144,936
