product_id,Egg_Size,Date,Quantity_Sold
2,Small,25/04/2024,199
3,Medium,25/04/2024,135
4,La,25/04/2024,33
5,X-Large,25/04/2024,4
1,Pullets,26/04/2024,21
2,Small,26/04/2024,189
3,Medium,26/04/2024,160
4,La,26/04/2024,30
5,X-Large,26/04/2024,2
1,Pullets,27/04/2024,18
2,Small,27/04/2024,188
3,Medium,27/04/2024,32
4,La,27/04/2024,38
5,X-Large,27/04/2024,4
6,Ju,27/04/2024,6
1,Pullets,28/04/2024,15
2,Small,28/04/2024,206
3,Medium,28/04/2024,161
4,La,28/04/2024,30
5,X-Large,28/04/2024,5
6,Ju,28/04/2024,3
1,Pullets,29/04/2024,16
2,Small,29/04/2024,208
3,Medium,29/04/2024,146
4,La,29/04/2024,33
5,X-Large,29/04/2024,1
6,Ju,29/04/2024,3
1,Pullets,30/04/2024,22
2,Small,30/04/2024,193
3,Medium,30/04/2024,161
4,La,30/04/2024,33
5,X-Large,30/04/2024,1
6,Ju,30/04/2024,5
1,Pullets,01/05/2024,21
2,Small,01/05/2024,206
3,Medium,01/05/2024,142
4,La,01/05/2024,30
5,X-Large,01/05/2024,3
6,Ju,01/05/2024,2
1,Pullets,02/05/2024,20
2,Small,02/05/2024,178
3,Medium,02/05/2024,175
4,La,02/05/2024,36
5,X-Large,02/05/2024,3
6,Ju,02/05/2024,4
1,Pullets,03/05/2024,18
2,Small,03/05/2024,189
3,Medium,03/05/2024,158
4,La,03/05/2024,36
6,Ju,03/05/2024,7
1,Pullets,04/05/2024,19
2,Small,04/05/2024,169
3,Medium,04/05/2024,170
4,La,04/05/2024,35
5,X-Large,04/05/2024,5
6,Ju,04/05/2024,5
1,Pullets,05/05/2024,18
2,Small,05/05/2024,174
3,Medium,05/05/2024,182
4,La,05/05/2024,35
5,X-Large,05/05/2024,1
6,Ju,05/05/2024,3
1,Pullets,06/05/2024,19
2,Small,06/05/2024,182
3,Medium,06/05/2024,174
4,La,06/05/2024,25
5,X-Large,06/05/2024,2
6,Ju,06/05/2024,4
1,Pullets,07/05/2024,15
2,Small,07/05/2024,198
3,Medium,07/05/2024,156
4,La,07/05/2024,35
5,X-Large,07/05/2024,3
6,Ju,07/05/2024,3
1,Pullets,08/05/2024,7
2,Small,08/05/2024,168
3,Medium,08/05/2024,188
4,La,08/05/2024,49
5,X-Large,08/05/2024,6
6,Ju,08/05/2024,7
1,Pullets,09/05/2024,19
2,Small,09/05/2024,183
3,Medium,09/05/2024,159
4,La,09/05/2024,50
5,X-Large,09/05/2024,3
6,Ju,09/05/2024,2
1,Pullets,10/05/2024,11
2,Small,10/05/2024,170
3,Medium,10/05/2024,170
4,La,10/05/2024,48
5,X-Large,10/05/2024,4
6,Ju,10/05/2024,4
1,Pullets,11/05/2024,14
2,Small,11/05/2024,173
3,Medium,11/05/2024,186
4,La,11/05/2024,44
5,X-Large,11/05/2024,6
6,Ju,11/05/2024,2
1,Pullets,12/05/2024,7
2,Small,12/05/2024,168
3,Medium,12/05/2024,189
4,La,12/05/2024,42
5,X-Large,12/05/2024,1
6,Ju,12/05/2024,2
1,Pullets,13/05/2024,13
2,Small,13/05/2024,184
3,Medium,13/05/2024,163
4,La,13/05/2024,47
5,X-Large,13/05/2024,6
6,Ju,13/05/2024,5
1,Pullets,14/05/2024,14
2,Small,14/05/2024,164
3,Medium,14/05/2024,181
4,La,14/05/2024,62
5,X-Large,14/05/2024,3
6,Ju,14/05/2024,2
1,Pullets,15/05/2024,10
2,Small,15/05/2024,159
3,Medium,15/05/2024,187
4,La,15/05/2024,44
5,X-Large,15/05/2024,9
6,Ju,15/05/2024,1
1,Pullets,16/05/2024,12
2,Small,16/05/2024,178
3,Medium,16/05/2024,173
4,La,16/05/2024,54
5,X-Large,16/05/2024,1
6,Ju,16/05/2024,1
1,Pullets,17/05/2024,14
2,Small,17/05/2024,161
3,Medium,17/05/2024,170
4,La,17/05/2024,56
5,X-Large,17/05/2024,3
6,Ju,17/05/2024,2
1,Pullets,18/05/2024,30
2,Small,18/05/2024,187
3,Medium,18/05/2024,156
4,La,18/05/2024,51
5,X-Large,18/05/2024,1
6,Ju,18/05/2024,2
1,Pullets,19/05/2024,10
2,Small,19/05/2024,140
3,Medium,19/05/2024,179
4,La,19/05/2024,73
5,X-Large,19/05/2024,10
6,Ju,19/05/2024,5
1,Pullets,20/05/2024,10
2,Small,20/05/2024,141
3,Medium,20/05/2024,184
4,La,20/05/2024,85
5,X-Large,20/05/2024,9
6,Ju,20/05/2024,1
1,Pullets,21/05/2024,7
2,Small,21/05/2024,165
3,Medium,21/05/2024,164
4,La,21/05/2024,80
5,X-Large,21/05/2024,12
6,Ju,21/05/2024,1
1,Pullets,22/05/2024,8
2,Small,22/05/2024,144
3,Medium,22/05/2024,172
4,La,22/05/2024,86
5,X-Large,22/05/2024,11
6,Ju,22/05/2024,1
1,Pullets,23/05/2024,153
2,Small,23/05/2024,183
3,Medium,23/05/2024,69
4,La,23/05/2024,6
5,X-Large,23/05/2024,2
6,Ju,23/05/2024,3
1,Pullets,24/05/2024,6
2,Small,24/05/2024,150
3,Medium,24/05/2024,185
4,La,24/05/2024,82
5,X-Large,24/05/2024,11
1,Pullets,25/05/2024,6
2,Small,25/05/2024,138
3,Medium,25/05/2024,197
4,La,25/05/2024,75
5,X-Large,25/05/2024,11
6,Ju,25/05/2024,2
1,Pullets,26/05/2024,1
2,Small,26/05/2024,126
3,Medium,26/05/2024,192
4,La,26/05/2024,85
5,X-Large,26/05/2024,16
6,Ju,26/05/2024,5
1,Pullets,27/05/2024,15
2,Small,27/05/2024,159
3,Medium,27/05/2024,185
4,La,27/05/2024,62
5,X-Large,27/05/2024,8
6,Ju,27/05/2024,3
1,Pullets,28/05/2024,25
2,Small,28/05/2024,150
3,Medium,28/05/2024,190
4,La,28/05/2024,56
5,X-Large,28/05/2024,5
6,Ju,28/05/2024,2
1,Pullets,29/05/2024,21
2,Small,29/05/2024,145
3,Medium,29/05/2024,152
4,La,29/05/2024,71
5,X-Large,29/05/2024,5
6,Ju,29/05/2024,3
1,Pullets,30/05/2024,18
2,Small,30/05/2024,141
3,Medium,30/05/2024,193
4,La,30/05/2024,75
5,X-Large,30/05/2024,6
1,Pullets,31/05/2024,4
2,Small,31/05/2024,145
3,Medium,31/05/2024,187
4,La,31/05/2024,77
5,X-Large,31/05/2024,9
6,Ju,31/05/2024,4
1,Pullets,01/06/2024,15
2,Small,01/06/2024,150
3,Medium,01/06/2024,185
4,La,01/06/2024,92
5,X-Large,01/06/2024,6
6,Ju,01/06/2024,1
1,Pullets,02/06/2024,4
2,Small,02/06/2024,103
3,Medium,02/06/2024,234
4,La,02/06/2024,76
5,X-Large,02/06/2024,9
6,Ju,02/06/2024,3
1,Pullets,03/06/2024,9
2,Small,03/06/2024,103
3,Medium,03/06/2024,234
4,La,03/06/2024,76
5,X-Large,03/06/2024,9
6,Ju,03/06/2024,3
1,Pullets,04/06/2024,15
2,Small,04/06/2024,142
3,Medium,04/06/2024,182
4,La,04/06/2024,78
5,X-Large,04/06/2024,7
6,Ju,04/06/2024,1
1,Pullets,05/06/2024,14
2,Small,05/06/2024,158
3,Medium,05/06/2024,191
4,La,05/06/2024,60
5,X-Large,05/06/2024,12
6,Ju,05/06/2024,2
1,Pullets,06/06/2024,15
2,Small,06/06/2024,153
3,Medium,06/06/2024,190
4,La,06/06/2024,69
5,X-Large,06/06/2024,10
6,Ju,06/06/2024,2
1,Pullets,07/06/2024,18
2,Small,07/06/2024,166
3,Medium,07/06/2024,187
4,La,07/06/2024,63
5,X-Large,07/06/2024,7
6,Ju,07/06/2024,2
1,Pullets,08/06/2024,14
2,Small,08/06/2024,154
3,Medium,08/06/2024,185
4,La,08/06/2024,63
5,X-Large,08/06/2024,10
6,Ju,08/06/2024,3
1,Pullets,09/06/2024,11
2,Small,09/06/2024,175
3,Medium,09/06/2024,154
4,La,09/06/2024,79
5,X-Large,09/06/2024,12
6,Ju,09/06/2024,4
1,Pullets,10/06/2024,12
2,Small,10/06/2024,169
3,Medium,10/06/2024,160
4,La,10/06/2024,72
5,X-Large,10/06/2024,10
6,Ju,10/06/2024,3
1,Pullets,11/06/2024,15
2,Small,11/06/2024,156
3,Medium,11/06/2024,196
4,La,11/06/2024,58
5,X-Large,11/06/2024,6
1,Pullets,12/06/2024,21
2,Small,12/06/2024,162
3,Medium,12/06/2024,190
4,La,12/06/2024,70
5,X-Large,12/06/2024,5
6,Ju,12/06/2024,2
1,Pullets,13/06/2024,13
2,Small,13/06/2024,133
3,Medium,13/06/2024,197
4,La,13/06/2024,83
5,X-Large,13/06/2024,12
1,Pullets,14/06/2024,14
2,Small,14/06/2024,142
3,Medium,14/06/2024,195
4,La,14/06/2024,82
5,X-Large,14/06/2024,11
6,Ju,14/06/2024,2
1,Pullets,15/06/2024,16
2,Small,15/06/2024,163
3,Medium,15/06/2024,182
4,La,15/06/2024,74
5,X-Large,15/06/2024,4
6,Ju,15/06/2024,1
1,Pullets,16/06/2024,21
2,Small,16/06/2024,165
3,Medium,16/06/2024,174
4,La,16/06/2024,57
5,X-Large,16/06/2024,7
1,Pullets,17/06/2024,16
2,Small,17/06/2024,136
3,Medium,17/06/2024,182
4,La,17/06/2024,74
5,X-Large,17/06/2024,18
6,Ju,17/06/2024,4
1,Pullets,18/06/2024,17
2,Small,18/06/2024,156
3,Medium,18/06/2024,194
4,La,18/06/2024,68
5,X-Large,18/06/2024,6
1,Pullets,19/06/2024,6
2,Small,19/06/2024,97
3,Medium,19/06/2024,200
4,La,19/06/2024,95
5,X-Large,19/06/2024,21
6,Ju,19/06/2024,2
1,Pullets,20/06/2024,4
2,Small,20/06/2024,106
3,Medium,20/06/2024,208
4,La,20/06/2024,96
5,X-Large,20/06/2024,19
6,Ju,20/06/2024,1
1,Pullets,21/06/2024,3
2,Small,21/06/2024,83
3,Medium,21/06/2024,193
4,La,21/06/2024,121
5,X-Large,21/06/2024,22
6,Ju,21/06/2024,4
1,Pullets,22/06/2024,8
2,Small,22/06/2024,116
3,Medium,22/06/2024,195
4,La,22/06/2024,94
5,X-Large,22/06/2024,17
6,Ju,22/06/2024,1
1,Pullets,23/06/2024,7
2,Small,23/06/2024,120
3,Medium,23/06/2024,211
4,La,23/06/2024,94
5,X-Large,23/06/2024,14
1,Pullets,24/06/2024,13
2,Small,24/06/2024,122
3,Medium,24/06/2024,198
4,La,24/06/2024,91
5,X-Large,24/06/2024,10
6,Ju,24/06/2024,3
1,Pullets,25/06/2024,6
2,Small,25/06/2024,112
3,Medium,25/06/2024,211
4,La,25/06/2024,85
5,X-Large,25/06/2024,13
6,Ju,25/06/2024,2
1,Pullets,26/06/2024,3
2,Small,26/06/2024,125
3,Medium,26/06/2024,191
4,La,26/06/2024,86
5,X-Large,26/06/2024,19
6,Ju,26/06/2024,2
2,Small,27/06/2024,138
3,Medium,27/06/2024,174
4,La,27/06/2024,101
5,X-Large,27/06/2024,8
6,Ju,27/06/2024,3
2,Small,28/06/2024,138
3,Medium,28/06/2024,189
4,La,28/06/2024,80
5,X-Large,28/06/2024,16
6,Ju,28/06/2024,2
1,Pullets,29/06/2024,6
2,Small,29/06/2024,121
3,Medium,29/06/2024,194
4,La,29/06/2024,89
5,X-Large,29/06/2024,16
6,Ju,29/06/2024,1
1,Pullets,30/06/2024,6
2,Small,30/06/2024,120
3,Medium,30/06/2024,206
4,La,30/06/2024,92
5,X-Large,30/06/2024,16
6,Ju,30/06/2024,2
1,Pullets,01/07/2024,4
2,Small,01/07/2024,84
3,Medium,01/07/2024,210
4,La,01/07/2024,129
5,X-Large,01/07/2024,17
6,Ju,01/07/2024,6
1,Pullets,02/07/2024,3
2,Small,02/07/2024,84
3,Medium,02/07/2024,184
4,La,02/07/2024,125
5,X-Large,02/07/2024,34
6,Ju,02/07/2024,3
1,Pullets,03/07/2024,5
2,Small,03/07/2024,98
3,Medium,03/07/2024,196
4,La,03/07/2024,106
5,X-Large,03/07/2024,23
6,Ju,03/07/2024,3
1,Pullets,04/07/2024,8
2,Small,04/07/2024,108
3,Medium,04/07/2024,190
4,La,04/07/2024,114
5,X-Large,04/07/2024,12
6,Ju,04/07/2024,2
1,Pullets,05/07/2024,6
2,Small,05/07/2024,136
3,Medium,05/07/2024,179
4,La,05/07/2024,100
5,X-Large,05/07/2024,20
6,Ju,05/07/2024,2
1,Pullets,06/07/2024,11
2,Small,06/07/2024,109
3,Medium,06/07/2024,194
4,La,06/07/2024,99
5,X-Large,06/07/2024,23
6,Ju,06/07/2024,3
1,Pullets,07/07/2024,11
2,Small,07/07/2024,109
3,Medium,07/07/2024,194
4,La,07/07/2024,99
5,X-Large,07/07/2024,23
6,Ju,07/07/2024,3
1,Pullets,08/07/2024,13
2,Small,08/07/2024,161
3,Medium,08/07/2024,161
4,La,08/07/2024,81
5,X-Large,08/07/2024,1
6,Ju,08/07/2024,1
1,Pullets,09/07/2024,2
2,Small,09/07/2024,92
3,Medium,09/07/2024,203
4,La,09/07/2024,112
5,X-Large,09/07/2024,31
6,Ju,09/07/2024,5
1,Pullets,10/07/2024,2
2,Small,10/07/2024,98
3,Medium,10/07/2024,213
4,La,10/07/2024,106
5,X-Large,10/07/2024,30
6,Ju,10/07/2024,3
1,Pullets,11/07/2024,6
2,Small,11/07/2024,90
3,Medium,11/07/2024,201
4,La,11/07/2024,117
5,X-Large,11/07/2024,33
6,Ju,11/07/2024,5
1,Pullets,12/07/2024,5
2,Small,12/07/2024,81
3,Medium,12/07/2024,196
4,La,12/07/2024,132
5,X-Large,12/07/2024,31
6,Ju,12/07/2024,2
1,Pullets,13/07/2024,1
2,Small,13/07/2024,83
3,Medium,13/07/2024,197
4,La,13/07/2024,114
5,X-Large,13/07/2024,24
6,Ju,13/07/2024,1
1,Pullets,14/07/2024,3
2,Small,14/07/2024,91
3,Medium,14/07/2024,199
4,La,14/07/2024,127
5,X-Large,14/07/2024,20
6,Ju,14/07/2024,4
1,Pullets,15/07/2024,3
2,Small,15/07/2024,67
3,Medium,15/07/2024,184
4,La,15/07/2024,144
5,X-Large,15/07/2024,40
6,Ju,15/07/2024,7
1,Pullets,16/07/2024,3
2,Small,16/07/2024,66
3,Medium,16/07/2024,189
4,La,16/07/2024,158
5,X-Large,16/07/2024,27
6,Ju,16/07/2024,3
1,Pullets,17/07/2024,6
2,Small,17/07/2024,79
3,Medium,17/07/2024,197
4,La,17/07/2024,115
5,X-Large,17/07/2024,36
6,Ju,17/07/2024,13
1,Pullets,18/07/2024,1
2,Small,18/07/2024,59
3,Medium,18/07/2024,177
4,La,18/07/2024,147
5,X-Large,18/07/2024,44
6,Ju,18/07/2024,12
1,Pullets,19/07/2024,5
2,Small,19/07/2024,122
3,Medium,19/07/2024,197
4,La,19/07/2024,115
5,X-Large,19/07/2024,34
6,Ju,19/07/2024,5
1,Pullets,20/07/2024,5
2,Small,20/07/2024,60
3,Medium,20/07/2024,188
4,La,20/07/2024,132
5,X-Large,20/07/2024,52
6,Ju,20/07/2024,3
1,Pullets,21/07/2024,2
2,Small,21/07/2024,50
3,Medium,21/07/2024,161
4,La,21/07/2024,147
5,X-Large,21/07/2024,29
6,Ju,21/07/2024,17
1,Pullets,22/07/2024,1
2,Small,22/07/2024,41
3,Medium,22/07/2024,184
4,La,22/07/2024,167
5,X-Large,22/07/2024,42
6,Ju,22/07/2024,6
1,Pullets,23/07/2024,2
2,Small,23/07/2024,86
3,Medium,23/07/2024,191
4,La,23/07/2024,120
5,X-Large,23/07/2024,32
6,Ju,23/07/2024,3
1,Pullets,24/07/2024,6
2,Small,24/07/2024,72
3,Medium,24/07/2024,202
4,La,24/07/2024,128
5,X-Large,24/07/2024,23
6,Ju,24/07/2024,9
1,Pullets,25/07/2024,2
2,Small,25/07/2024,65
3,Medium,25/07/2024,179
4,La,25/07/2024,144
5,X-Large,25/07/2024,43
6,Ju,25/07/2024,6
1,Pullets,26/07/2024,1
2,Small,26/07/2024,53
3,Medium,26/07/2024,161
4,La,26/07/2024,146
5,X-Large,26/07/2024,47
6,Ju,26/07/2024,9
1,Pullets,27/07/2024,1
2,Small,27/07/2024,70
3,Medium,27/07/2024,179
4,La,27/07/2024,137
5,X-Large,27/07/2024,45
6,Ju,27/07/2024,7
1,Pullets,28/07/2024,1
2,Small,28/07/2024,70
3,Medium,28/07/2024,193
4,La,28/07/2024,141
5,X-Large,28/07/2024,35
6,Ju,28/07/2024,5
1,Pullets,29/07/2024,2
2,Small,29/07/2024,102
3,Medium,29/07/2024,177
4,La,29/07/2024,138
5,X-Large,29/07/2024,16
6,Ju,29/07/2024,4
1,Pullets,30/07/2024,5
2,Small,30/07/2024,119
3,Medium,30/07/2024,183
4,La,30/07/2024,119
5,X-Large,30/07/2024,18
6,Ju,30/07/2024,1
1,Pullets,31/07/2024,16
2,Small,31/07/2024,164
3,Medium,31/07/2024,211
4,La,31/07/2024,132
5,X-Large,31/07/2024,34
6,Ju,31/07/2024,3
1,Pullets,01/08/2024,6
2,Small,01/08/2024,77
3,Medium,01/08/2024,196
4,La,01/08/2024,132
5,X-Large,01/08/2024,28
6,Ju,01/08/2024,4
1,Pullets,02/08/2024,10
2,Small,02/08/2024,84
3,Medium,02/08/2024,172
4,La,02/08/2024,126
